,count,unique,top,freq,mean,std,min,25%,50%,75%,max
applicant_id,200000,200000,person_0000000,1,,,,,,,
cohort,200000,6,junior_generalist,44159,,,,,,,
years_experience,200000.0,,,,3.728291531851237,2.7488942260016236,0.0,1.4203225504829575,3.3540542513377916,5.351423541329165,14.62299589256411
relevant_experience,200000.0,,,,2.7988041514590103,2.170168723661629,0.0,1.0196702485894564,2.4152825233130315,4.058782476752247,13.614031974102218
education_level,200000,4,bachelors,119136,,,,,,,
primary_role_family,200000,10,marketing,20227,,,,,,,
secondary_role_family,200000,10,software_engineering,20220,,,,,,,
resume_quality,200000.0,,,,0.5992992650535948,0.20033646203577324,0.012042328773961922,0.4548443921542373,0.613738949148152,0.7560158208715602,0.9995094614513339
keyword_resume_strength,200000.0,,,,0.6010532852794368,0.1993324810502621,0.007289868270378627,0.4587736085169132,0.6152641629557669,0.7573519368236443,0.9996245470303102
reading_patience,200000.0,,,,0.5007790681167122,0.2233028782529105,0.0009127516470447536,0.32819191765435474,0.5012331072237366,0.6745336082810973,0.9996872148144881
decision_speed,200000.0,,,,0.5010024769671522,0.22350628284506463,0.0011618832052955551,0.3284924825593412,0.5014885298447103,0.6746017744550031,0.9983448523051612
fatigue_sensitivity,200000.0,,,,0.39896051838970653,0.19932460997751522,0.0019620498695921986,0.24193919120739837,0.3848139080392322,0.5415613994853108,0.9866312769278771
scatter_apply_tendency,200000.0,,,,0.357770925733602,0.18938209213428098,0.000858405347694948,0.21075228156228448,0.33847897025951834,0.4848201012590787,1.0
self_filter_strength,200000.0,,,,0.5580720797758617,0.21547138302449767,0.0,0.4067068423970418,0.5716300008648179,0.7239636009182264,0.9991111857591629
prestige_preference,200000.0,,,,0.49991462661822705,0.22365594603976846,0.0007009733303806844,0.32669404408339986,0.49993055056476815,0.6740174609749684,0.9992528552673691
salary_sensitivity,200000.0,,,,0.5004616073984006,0.2237982982417229,0.0007798588576941042,0.32694378466434126,0.5001773306750112,0.674377318100591,0.998459081261116
remote_preference,200000.0,,,,0.5003862214116772,0.22331654613195417,5.778672988216499e-05,0.3268325550605722,0.5002026050122312,0.6735616815164637,0.9985266351954856
skill_python,200000.0,,,,0.4381341772669597,0.3000716942442893,0.0,0.22402233228201918,0.3467805323736575,0.5440034589257804,1.0
skill_sql,200000.0,,,,0.5422224798733987,0.2603293109269547,0.0,0.34123696405909876,0.5001016631882289,0.7397425908695116,1.0
skill_ml,200000.0,,,,0.35612459274564867,0.24552052317371262,0.0,0.2001483342466809,0.30208379222657444,0.42363754165151035,1.0
skill_statistics,200000.0,,,,0.4248292110256731,0.27890636575188976,0.0,0.23018902567583704,0.3434726628425017,0.5242384700185526,1.0
skill_backend,200000.0,,,,0.3770793067238714,0.2522385650683399,0.0,0.20662003616535887,0.31671511040196787,0.46699957979644646,1.0
skill_frontend,200000.0,,,,0.34549085886055475,0.20811790047765372,0.0,0.19746317878379338,0.30611985642265205,0.4531441942366223,1.0
skill_devops,200000.0,,,,0.325699108357413,0.19702139578310293,0.0,0.19204521320809395,0.2920733471291345,0.41260022843897737,1.0
skill_cloud,200000.0,,,,0.3648953064940651,0.2059804494910069,0.0,0.21768465664616826,0.3303404371825601,0.4784993816697345,1.0
skill_product_sense,200000.0,,,,0.5567840357062523,0.20182936746605462,0.0,0.41884179423283996,0.5300716784286305,0.6616590397476587,1.0
skill_analytics,200000.0,,,,0.7129809804201417,0.21042662998696443,0.011771698438587386,0.5438888497740066,0.718617164404229,0.9037418526604692,1.0
skill_communication,200000.0,,,,0.8236083713256269,0.16774443999115926,0.16802749601890782,0.6910925250646455,0.8558882442961755,1.0,1.0
skill_design_tools,200000.0,,,,0.3476523978224369,0.249282906934529,0.0,0.1870364143381072,0.2892420396471331,0.418785704812506,1.0
skill_ux_research,200000.0,,,,0.3729713670335932,0.23506880159427748,0.0,0.21387883322574552,0.3261980734894504,0.4639626053450367,1.0
skill_sales_ops,200000.0,,,,0.401907208719155,0.24080284604464358,0.0,0.22962890786930146,0.35345848041995453,0.5216780406928267,1.0
skill_crm,200000.0,,,,0.40700066621105585,0.24308541969269792,0.0,0.2415334305432888,0.35839686178971997,0.504666840157946,1.0
skill_budgeting,200000.0,,,,0.39605670523659764,0.25658440254720183,0.0,0.21929603431729872,0.33258173448797834,0.49559718180946954,1.0
skill_compliance,200000.0,,,,0.3943816382988846,0.22210704804657147,0.0,0.2370066805928881,0.3572517980645745,0.506786563936424,1.0
skill_operations_planning,200000.0,,,,0.4415625383148931,0.21368655765619401,0.0,0.299417562199567,0.40775286114719367,0.5326402366897152,1.0
skill_experimentation,200000.0,,,,0.6294793728207272,0.22090252126458063,0.0,0.46152106755120686,0.6181333057268912,0.8055075510889219,1.0
skill_stakeholder_mgmt,200000.0,,,,0.7901141432387786,0.1565723024308166,0.18115518410996495,0.6756846027155673,0.7967113100355158,0.926828191327929,1.0
skill_writing,200000.0,,,,0.7628685909522269,0.21944365769484953,0.0,0.5753924047903838,0.8210523605865028,0.978378122905084,1.0
skill_customer_support,200000.0,,,,0.46669977479430985,0.2549408694221779,0.0,0.27276556154838405,0.42132940827505694,0.6238153197818832,1.0
skill_leadership,200000.0,,,,0.5948733740366151,0.15357996674186394,0.0036202267971053304,0.48892542245457704,0.5909204226481295,0.6975688139416345,1.0
skill_domain_knowledge,200000.0,,,,0.6046519712173956,0.1548781261099985,0.0,0.49735465301959686,0.6013894303866641,0.7087962251397062,1.0
