,count,unique,top,freq,mean,std,min,25%,50%,75%,max
job_id,120000,120000,job_00000000,1,,,,,,,
company_id,120000,8000,company_003637,33,,,,,,,
industry,120000,8,consumer_tech,15552,,,,,,,
role_family,120000,9,software_engineering,21030,,,,,,,
seniority_level,120000,5,mid,41784,,,,,,,
required_experience,120000.0,,,,6.274852644165029,2.9875436118207475,0.0,4.116912865371166,6.214933039598579,8.38695867567354,15.0
required_education,120000,4,bachelors,71732,,,,,,,
salary_band_norm,120000.0,,,,0.5661615701844249,0.17562032127288876,0.0,0.44092823870588516,0.5629899709157553,0.6915006971577194,1.0
remote_mode,120000,3,hybrid,53648,,,,,,,
description_length,120000.0,,,,0.48664364480058964,0.10924008188907176,0.02821122980036228,0.4097771359979416,0.4832557251768084,0.560383207865235,0.9697858170873512
complexity_score,120000.0,,,,0.5978742672466472,0.1587421979682911,0.048161713684344465,0.48312513395801227,0.5940446443661305,0.7110772863523618,1.0
skillreq_python,120000.0,,,,0.44370677248010143,0.33944706406193864,0.0,0.18807039799793546,0.2959199076156316,0.8794148387907758,1.0
skillreq_sql,120000.0,,,,0.5068708278907208,0.24211983738054518,0.0,0.3160234022641776,0.47586684599253504,0.6790712185917925,1.0
skillreq_ml,120000.0,,,,0.3035844361836876,0.25075537324906005,0.0,0.16044131036354561,0.23606494776205378,0.3254676261426718,1.0
skillreq_statistics,120000.0,,,,0.36881963656568234,0.2735186663442985,0.0,0.19295896923570705,0.27609878926063575,0.3952593179410802,1.0
skillreq_backend,120000.0,,,,0.3668341735416946,0.2977596652559006,0.0,0.16517924260223063,0.2551554299020343,0.45157832097992345,1.0
skillreq_frontend,120000.0,,,,0.3005836016885571,0.2113803987533131,0.0,0.15119607549407887,0.23307265137528344,0.4001442679690955,1.0
skillreq_devops,120000.0,,,,0.28971819394555104,0.2038199550861118,0.0,0.15320504824045247,0.23193060206264038,0.34233509807462315,1.0
skillreq_cloud,120000.0,,,,0.33182648824031835,0.20440101470923094,0.0,0.18155693717812324,0.2770612751679228,0.4546807312379234,1.0
skillreq_product_sense,120000.0,,,,0.4855797391033959,0.2038860632768,0.0,0.3532995652193617,0.45453742643140727,0.5597274129995666,1.0
skillreq_analytics,120000.0,,,,0.6628221426919413,0.19603460834195288,0.010895854926044501,0.5017693950037385,0.6612271452943712,0.8312511349479766,1.0
skillreq_communication,120000.0,,,,0.7437500873449617,0.17584027852989914,0.1979861344355877,0.5965034167597822,0.7257724536831951,0.9098516883314325,1.0
skillreq_design_tools,120000.0,,,,0.2600901504793779,0.22452617808504752,0.0,0.1337683305176659,0.20445167949362048,0.29297448153666106,1.0
skillreq_ux_research,120000.0,,,,0.2682848587444798,0.20495732212656398,0.0,0.14627890629558682,0.22138222867707963,0.3153241592146886,1.0
skillreq_sales_ops,120000.0,,,,0.31904081004537405,0.22036480649801513,0.0,0.1628630341506737,0.25744117819121504,0.4379587011136067,1.0
skillreq_crm,120000.0,,,,0.3229676101921029,0.22678457660928844,0.0,0.1741426395678376,0.268801364435604,0.40489730795062195,1.0
skillreq_budgeting,120000.0,,,,0.314042332038724,0.24804941430899766,0.0,0.1556187530742372,0.23653893213642524,0.36415306681069265,1.0
skillreq_compliance,120000.0,,,,0.31694835737141996,0.19437949159602202,0.0,0.18290595005678728,0.2767163395082481,0.40275795413268073,1.0
skillreq_operations_planning,120000.0,,,,0.3816924419621158,0.20909850480595255,0.0,0.254053779103563,0.3367564378423455,0.4299588221384845,1.0
skillreq_experimentation,120000.0,,,,0.5758212714158473,0.20548001762733548,0.0,0.41784712357409076,0.5533249369297529,0.7468096757455872,1.0
skillreq_stakeholder_mgmt,120000.0,,,,0.7107007734067159,0.15363987060488396,0.221095267520116,0.5936630863245477,0.6976327142366814,0.8218962123008424,1.0
skillreq_writing,120000.0,,,,0.6644198986322146,0.2379547602171144,0.0,0.44703419616575535,0.6766555777926125,0.8880521017760032,1.0
skillreq_customer_support,120000.0,,,,0.3977123543107545,0.27153068541411457,0.0,0.20533428828410552,0.3074860123227041,0.5267398065317856,1.0
skillreq_leadership,120000.0,,,,0.5207238159575814,0.1184451248608769,0.044584169074897984,0.4391288309527078,0.5169355764285319,0.5989607823866208,1.0
skillreq_domain_knowledge,120000.0,,,,0.5232586831726752,0.12479775531891486,0.0,0.43821726633015745,0.5264236195833616,0.6102637119861074,1.0
keyword_strength_python,120000.0,,,,0.4411278666962768,0.3371642438431707,0.0,0.18553833974049652,0.30154586835102737,0.8648897708370576,1.0
keyword_strength_sql,120000.0,,,,0.5064065933255548,0.24574432193330403,0.0,0.3152709858141003,0.4769775212568432,0.6853699635510085,1.0
keyword_strength_ml,120000.0,,,,0.3030447707890317,0.25140536445451017,0.0,0.15419847142933468,0.23850674545380202,0.3367918518621766,1.0
keyword_strength_statistics,120000.0,,,,0.36791846028250813,0.2746671010881374,0.0,0.18713658297179842,0.27952122789317174,0.4140912953950309,1.0
keyword_strength_backend,120000.0,,,,0.36563926043989053,0.29680325952598063,0.0,0.16091117037038682,0.26188991290722347,0.4571017103528472,1.0
keyword_strength_frontend,120000.0,,,,0.30119216886788464,0.21613954269236593,0.0,0.1458145510534567,0.23855631496479052,0.4082744028286826,1.0
keyword_strength_devops,120000.0,,,,0.29050166383770193,0.20870191585291173,0.0,0.14811749870999372,0.23513099944711857,0.3572028346310263,1.0
keyword_strength_cloud,120000.0,,,,0.3325450112790112,0.20964571569916746,0.0,0.1780196486079908,0.2822590011544112,0.46055644197459694,1.0
keyword_strength_product_sense,120000.0,,,,0.4842994258079115,0.20676331235667098,0.0,0.3485960761184671,0.45488724724335483,0.5686765796092668,1.0
keyword_strength_analytics,120000.0,,,,0.6615614783602074,0.2002990386793559,0.0,0.5006399309339954,0.6628268848899322,0.8313302459592858,1.0
keyword_strength_communication,120000.0,,,,0.7407854163850386,0.17791384120138823,0.14360201546224016,0.5947248161862584,0.7311018813553323,0.9071827415882067,1.0
keyword_strength_design_tools,120000.0,,,,0.2601888122096688,0.2260040500085068,0.0,0.1272206985575706,0.20732203274570282,0.3044468811904532,1.0
keyword_strength_ux_research,120000.0,,,,0.2686378631117959,0.20906974821376628,0.0,0.1397855827428704,0.2238580641375507,0.3252549950103026,1.0
keyword_strength_sales_ops,120000.0,,,,0.3193290618875558,0.22451553176927314,0.0,0.15941476286209033,0.26353904084839846,0.4372633541561046,1.0
keyword_strength_crm,120000.0,,,,0.3224993054822705,0.2289429945797839,0.0,0.16996971054216975,0.27275460067730073,0.40958812361383135,1.0
keyword_strength_budgeting,120000.0,,,,0.313733426439616,0.24952049477023047,0.0,0.15020938850615634,0.2407518659362909,0.378588387826349,1.0
keyword_strength_compliance,120000.0,,,,0.31738511159556787,0.19966100555717667,0.0,0.178698403916873,0.2797297726338626,0.4102415094300331,1.0
keyword_strength_operations_planning,120000.0,,,,0.38121487804129245,0.21372283963289443,0.0,0.24741718453506042,0.33825704628951486,0.44035866204284413,1.0
keyword_strength_experimentation,120000.0,,,,0.5754328271080369,0.21041932070867836,0.0,0.41524771338336247,0.5570362337053063,0.7451220247872522,1.0
keyword_strength_stakeholder_mgmt,120000.0,,,,0.7091498796203657,0.1584137714975029,0.15673224954091272,0.5902638413018808,0.6994981350817839,0.8262902413181098,1.0
keyword_strength_writing,120000.0,,,,0.6620761712385903,0.23972019878559658,0.0,0.4471305723318399,0.6711366212631733,0.8879557547430679,1.0
keyword_strength_customer_support,120000.0,,,,0.3964093919438914,0.2720682805469454,0.0,0.2015973336581796,0.31397076400234436,0.5283392520345477,1.0
keyword_strength_leadership,120000.0,,,,0.520754555854818,0.12885406737999278,0.0,0.43209559177660883,0.5174690580223331,0.606375871119568,1.0
keyword_strength_domain_knowledge,120000.0,,,,0.5233883559315092,0.134314537490944,0.0,0.43246383101664654,0.5259122177811753,0.6160482961937856,1.0
