,count,unique,top,freq,mean,std,min,25%,50%,75%,max
round_id,100000.0,,,,49999.5,28867.65779668774,0.0,24999.75,49999.5,74999.25,99999.0
chunk_id,100000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
session_id,100000,84971,session_0226996,5,,,,,,,
applicant_id,100000,69199,person_0128595,10,,,,,,,
job_id,100000,67401,job_00105722,7,,,,,,,
company_id,100000,7998,company_005534,35,,,,,,,
applicant_cohort,100000,6,junior_generalist,22066,,,,,,,
company_tier,100000,5,small_local,29569,,,,,,,
session_goal,100000,4,focused_search,30247,,,,,,,
job_role_family,100000,9,software_engineering,13627,,,,,,,
arm_chosen,100000.0,,,,1.93274,1.4293482860259172,0.0,1.0,2.0,3.0,4.0
arm_chosen_name,100000,5,panel_split,22313,,,,,,,
arm_propensity,100000.0,,,,0.3304131107260348,0.2806022295927322,0.02,0.19521831301921183,0.2,0.23296195984777263,0.92
skill_match,100000.0,,,,0.9174477712984133,0.08511755468905995,0.505099201577222,0.886193856351336,0.960420376643482,0.9726122119776449,0.9951335471055723
keyword_match,100000.0,,,,0.9141338647948564,0.08448808593438721,0.4958187098766525,0.8835515747856979,0.9557585541023563,0.9690820298877159,0.9932912099899645
experience_match,100000.0,,,,0.4694197693095795,0.3425644130725007,0.0,0.16737040904906728,0.3972781385623642,0.7773140760068541,1.0
education_match,100000.0,,,,0.8830295000000001,0.20756121493749613,0.0,0.65,1.0,1.0,1.0
salary_alignment,100000.0,,,,0.8086827449676146,0.13978605144865805,0.18592628375672238,0.7218497035786037,0.83561571699115,0.9220231337129007,0.9999990877841411
location_alignment,100000.0,,,,0.7345568544944556,0.1905048148113513,0.025536718619030396,0.6103710036192793,0.7694827906872406,0.890706424848047,0.9999995452266284
role_family_alignment,100000.0,,,,0.7435314999999999,0.36545207491535814,0.2,0.2,1.0,1.0,1.0
prestige_alignment,100000.0,,,,0.6684957793248357,0.22676539373550675,0.0022597969188361544,0.5138309669689203,0.7030833295149609,0.8560483104107393,0.99999849527852
fit_score,100000.0,,,,0.7591185231699072,0.0985518931998081,0.40199065117445154,0.6977140840992687,0.7649327251293534,0.8283383030792528,0.9881402810228712
applicant_uncertainty,100000.0,,,,0.37361374558336274,0.11657905535819149,0.07871527398856822,0.28771077342470947,0.35909030930629227,0.44425421521454334,0.8557267570572097
ui_need,100000.0,,,,0.529271907819677,0.09327961320613344,0.1950309234260687,0.4645296756623842,0.5283667451244367,0.5927376336685801,0.9101697913121957
submit_probability,100000.0,,,,0.5471015909919044,0.08949308206455003,0.26069807659404864,0.4828240031322602,0.541607397962028,0.6080691667159588,0.8418993820304522
submitted,100000.0,,,,0.6808,0.46616899632572234,0.0,0.0,1.0,1.0,1.0
