,count,unique,top,freq,mean,std,min,25%,50%,75%,max
session_id,300000,300000,session_0000000,1,,,,,,,
applicant_id,300000,155356,person_0180390,9,,,,,,,
session_goal,300000,4,focused_search,90182,,,,,,,
device_type,300000,3,desktop,164871,,,,,,,
start_hour_bucket,300000.0,,,,11.486446666666666,6.926706016427265,0.0,5.0,11.0,17.0,23.0
time_budget_minutes,300000.0,,,,49.548136666666664,23.12517557642479,10.0,29.0,50.0,70.0,89.0
initial_fatigue,300000.0,,,,0.33364552793347607,0.1778373485870351,0.0007601770490840971,0.19441409273919105,0.3141985327346256,0.4542541448344137,0.977593408799351
applications_last_7d,300000.0,,,,6.00275,2.4540393596131653,0.0,4.0,6.0,8.0,23.0
rejections_last_30d,300000.0,,,,10.00207,3.1650759507663078,0.0,8.0,10.0,12.0,27.0
ignores_last_30d,300000.0,,,,14.998363333333334,3.8717615228445896,2.0,12.0,15.0,18.0,35.0
